district,LOR,street,LOR_2021,year,month,hour,weekday,category,accident_kind,accident_type,light_condition,car,pedestrian,motorcycle,goods_vehicle,others,road_condition,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
2,2050602.0,Samariterviertel,2500728.0,2018,5,8,4,2,5,3,0,1,0,0,0,0,0,803093.0802,5827650.614,13.46757327,52.51450732
10,10040933.0,Mahlsdorf Süd                                                                                       ,10400940.0,2018,8,16,4,3,5,3,0,1,0,0,0,0,0,812566.7895,5827181.035,13.60629127,52.50495334
2,2050802.0,Boxhagener Platz,2500833.0,2018,4,22,4,3,6,4,2,0,1,0,0,0,0,802062.0003,5827300.352,13.45210723,52.51193991
1,1011304.0,Karl-Marx-Allee,1100311.0,2018,5,20,4,3,5,3,0,1,0,0,0,0,0,800002.0919,5828076.13,13.42254422,52.52003031
2,2020202.0,Rathaus Yorckstraße,2200208.0,2018,10,9,4,3,2,2,0,1,0,0,0,0,0,797898.4872,5825431.844,13.38926624,52.49748077
3,3040818.0,Pankow Süd                                                                                          ,3400826.0,2018,2,12,7,2,5,2,0,1,0,0,0,0,0,798793.3216,5832828.26,13.40905624,52.5632898
4,4020208.0,Kranzallee,4200206.0,2018,9,17,7,3,1,5,0,1,0,0,0,0,0,787869.6435,5825953.017,13.24239853,52.50753603
4,4030623.0,Ernst-Reuter-Platz,4300622.0,2018,7,13,1,3,2,6,0,1,0,0,0,0,0,793122.6771,5826807.464,13.32032918,52.51239878
3,3071633.0,Thälmannpark,3701657.0,2018,6,20,3,3,6,4,0,0,1,0,0,0,0,800070.6435,5830538.54,13.4257742,52.54206397
7,7020203.0,Kaiser-Wilhelm-Platz,7200410.0,2018,5,15,5,3,3,6,0,0,0,0,0,1,0,795784.752,5824104.839,13.35704241,52.48673495
1,1011104.0,Körnerstraße                                                                                        ,1100104.0,2018,9,11,7,3,5,7,0,1,0,0,0,0,0,796349.339,5826136.498,13.36714022,52.50464075
3,3061131.0,Falkplatz,3601142.0,2018,7,18,6,3,0,1,0,1,0,0,0,0,0,799163.4288,5830571.461,13.41246644,52.54285791
1,1011204.0,Leipziger Straße                                                                                    ,1100207.0,2018,3,21,3,3,3,6,2,1,0,0,0,0,1,797703.5182,5826841.386,13.38766298,52.51022204
2,2040503.0,Richard-Sorge-Viertel,2400522.0,2018,7,22,6,3,1,5,2,1,0,0,0,0,0,801882.8554,5827775.058,13.44990611,52.51629389
3,3071639.0,Bötzowstraße,3701660.0,2018,10,17,5,3,1,5,0,0,0,0,0,1,0,800473.2,5829681.542,13.43091734,52.53416067
4,4030417.0,Schloßstraße,4300414.0,2018,9,9,2,3,0,2,0,1,0,0,0,0,0,791021.9995,5826457.547,13.28915596,52.51038665
3,3040614.0,Pankow Zentrum                                                                                      ,3400723.0,2018,8,14,7,3,2,6,0,1,0,0,0,1,0,798401.4422,5833432.991,13.40383611,52.56892524
2,2050602.0,Samariterviertel,2500729.0,2018,9,7,2,2,5,3,0,0,0,1,0,0,0,803308.6414,5827628.703,13.47072015,52.51419111
1,1011201.0,Wilhelmstraße                                                                                       ,1100205.0,2018,9,8,3,3,2,6,0,1,0,0,0,0,0,797315.6179,5826777.616,13.38190718,52.50986198
3,3071633.0,Thälmannpark,3701657.0,2018,5,19,1,3,2,2,0,0,0,0,0,0,0,800391.0857,5830003.013,13.43000094,52.53708736
